title,price,tourist,dianping,percent,subtitle
<上海-苏杭-乌镇双飞4日游>水韵江南/纯玩0购，畅游三大5A水乡，赠价值150元四季周庄演出，限量升周庄客栈以及宋城主题酒店，无忧接送,1385,4856,1274人,96,长沙出发| 上海成团| 纯玩0购物 5A三水乡 杭州西湖 
<西塘夜景+乌镇2日游>细品乌镇东栅，宿景区内客栈，畅享双水乡，追忆似水年华，周末/悠游/家庭好去处，可升级住宿,305,2825,509人,94,南京成团| 特价线路 充足游玩时间 生活着的古镇 宿景区内客栈 双古镇游 纯玩0购...
<华东六市+乌镇双动5日游>自营0购升2晚五星丨拈花湾(赏禅光秀)+乌镇双客栈丨汉服游园丨经典双水乡+周庄水上游+西湖登岛合影雷峰塔丨50餐标丨武汉往返,1622,2.3万,7605人,95,武汉出发| 南京成团| 宁进沪出 纯玩0购物 苏州留园 1晚宿西栅客栈 50高餐标
<杭州-乌镇西栅1日游>下午14点出发、真正纯玩无购物、当日可定、深度游、白天带你观江南古镇水乡的小桥流水、夜晚赏乌镇西栅醉美夜景,268,1816,302人,97,杭州成团| 乌镇西栅 夜景深度游 纯玩无购物 天天发车 古镇水乡 
<西塘+乌镇1日游>江南双古镇，游西塘，逛乌镇西栅赏日景夜景，生活着的千年古镇，枕水人家，追忆似水年华，纯玩无购物,268,1947,393人,98,上海成团| 乌镇日夜全景 千年古镇 枕水人家 纯玩无购物 双水乡古镇 一天足够深度...
<杭州西湖+西湖游船+雷峰塔+乌镇西栅+西栅夜游1日游>纯玩无购物、白天游西湖和乌镇水乡、夜观著名乌镇西栅夜景、一天走完两大著名景区,384,1420,296人,97,杭州成团| 纯玩无购物 天天发团 白天游西湖 夜观乌镇夜景 纯玩线路 
<南京-杭州-苏州-无锡自选交通4日游>10人纯玩丨全程五星(夫子庙商圈状元楼+乌镇客栈)南京博物院丨小京都汉服游园丨船游西塘丨2进西湖登岛丨30空座率,2006,2804,784人,96,杭州成团| 精品小团 5A苏州园林 轻奢纯玩0购 搜罗美食 深度漫游 不赶路
<上海迪士尼乐园-苏杭-乌镇双飞5日游>嗨玩迪士尼1整天，纯玩0购物，5A3水乡，赠150元四季周庄show，限量升周庄客栈及千古情主题房,1836,4891,1217人,96,长沙出发| 上海成团| 上海迪士尼 周庄乌镇南浔 周庄客栈 
<无锡-苏州-杭州-上海-乌镇双飞5日游>性价比优选，纯玩0购物，西栅、周庄双水乡，包船游西湖，全程五星酒店、1晚夜宿乌镇赏夜景,2054,1.4万,3385人,94,长沙出发机票可选| 上海成团| 南京进上海出 五星纯玩推荐 华东精华景点 四大特色餐 细品双水乡 7大...
<浙江嘉兴西塘-乌镇2日游>深度漫游，宿乌镇景区内特色酒店，含丰富早餐，可二次入园，赏西栅日夜全景，双水乡古镇新玩法,620,2694,417人,95,上海成团| 夜宿景区内 含丰盛自助早 畅游双古镇 自由出入景区 品质之选 
<乌镇-西塘古镇夜景2日游>仅含门票及车费，住宿自理，畅游双水乡，轻松半自助，双园自由嗨翻天,240,1447,219人,94,南京成团| 销售主打 淳美古镇风情 精选优质客栈 自选住宿 自由行更自在 纯玩0购...
[春节]<上海迪士尼-苏杭-乌镇自选交通6日游>自营0购/Disney1整天/三城环游/杭州1日free，3晚国五+1晚西栅客栈/双水乡/船游西湖登岛/50元餐标美食,2107,3133,867人,98,杭州成团| 亲子游 暑假 上海迪士尼乐园 雷峰塔 上海迪士尼 国际五星
