name,structure,area,floor,price
银泰财富广场 -红旗广场,1室1厅,49.7平米,高楼层(共30层) ,40万
尚格名城万家理想 -株洲大道（体育馆）,3室2厅,132.76平米,高楼层(共17层) ,100万
日盛·桂花城 -株洲西站,3室2厅,97平米,中楼层(共33层) ,64.8万
嶺秀天下 -荷塘区,2室2厅,82平米,低楼层(共32层) ,43.8万
山水洲城 -株洲西站,3室2厅,141.9平米,中楼层(共31层) ,89万
银泰财富广场 -红旗广场,2室1厅,78平米,低楼层(共29层) ,42万
庐山恋 -庐山路,4室2厅,166平米,高楼层(共18层) ,95万
北大资源·翡翠公园 -枫溪街道,3室2厅,108平米,低楼层(共33层) ,73万
铁西社区 -泰山广场,2室1厅,53.29平米,中楼层(共6层) ,32万
天元新世界 -湖南工业大学,2室2厅,88平米,低楼层(共27层) ,60万
天元新世界 -湖南工业大学,2室2厅,88平米,高楼层(共27层) ,60万
紫金名门 -神农城,2室2厅,87平米,中楼层(共26层) ,62.8万
华晨东方时代广场 -大润发,1室0厅,50平米,中楼层(共26层) ,38万
天鹅花园 -天鹅湖公园,4室2厅,174平米,高楼层(共17层) ,98万
城发时代新城 -株洲北,3室2厅,132.56平米,低楼层(共18层) ,78.8万
荷叶大楼 -大润发,3室2厅,110.37平米,高楼层(共9层) ,42.8万
城发翰林府2期 -株洲北,3室2厅,106.76平米,高楼层(共33层) ,51万
晨光小区 -东湖,4室2厅,150.82平米,高楼层(共7层) ,68万
新民村 -田心,2室2厅,96.16平米,中楼层(共7层) ,45万
泉塘花園 -田心,4室2厅,150.99平米,低楼层(共18层) ,87万
裕景龙苑 -庆云山,3室1厅,121.8平米,低楼层(共18层) ,84万
天鹅花园 -天鹅湖公园,3室2厅,128平米,中楼层(共8层) ,68万
荷塘星城小区 -大润发,4室2厅,137.86平米,高楼层(共33层) ,98万
渌水家园一期 -醴陵市,4室1厅,163.9平米,高楼层(共7层) ,56.8万
佳诚时代广场 -徐家桥商业步行街,4室2厅,174平米,中楼层(共14层) ,98万
